Município,Mês,Quantidade
AMARALINA,January de 2023,0.0
AMARALINA,February de 2023,0.0
AMARALINA,March de 2023,0.0
AMARALINA,April de 2023,0.0
AMARALINA,May de 2023,0.0
AMARALINA,June de 2023,0.0
AMARALINA,July de 2023,0.0
AMARALINA,August de 2023,0.0
AMARALINA,September de 2023,0.0
AMARALINA,October de 2023,0.0
AMARALINA,November de 2023,0.0
AMARALINA,December de 2023,0.0
AMARALINA,January de 2024,0.0
AMARALINA,February de 2024,1.0
AMARALINA,March de 2024,0.0
AMARALINA,April de 2024,0.0
AMARALINA,May de 2024,0.0
AMARALINA,June de 2024,0.0
AMARALINA,July de 2024,0.0
AMARALINA,August de 2024,0.0
AMERICANO DO BRASIL,January de 2021,0.0
AMERICANO DO BRASIL,February de 2021,0.0
AMERICANO DO BRASIL,March de 2021,0.0
AMERICANO DO BRASIL,April de 2021,0.0
AMERICANO DO BRASIL,May de 2021,0.0
AMERICANO DO BRASIL,June de 2021,0.0
AMERICANO DO BRASIL,July de 2021,0.0
AMERICANO DO BRASIL,August de 2021,0.0
AMERICANO DO BRASIL,September de 2021,0.0
AMERICANO DO BRASIL,October de 2021,0.0
AMERICANO DO BRASIL,November de 2021,0.0
AMERICANO DO BRASIL,December de 2021,0.0
AMERICANO DO BRASIL,January de 2022,0.0
AMERICANO DO BRASIL,February de 2022,0.0
AMERICANO DO BRASIL,March de 2022,0.0
AMERICANO DO BRASIL,April de 2022,0.0
AMERICANO DO BRASIL,May de 2022,0.0
AMERICANO DO BRASIL,June de 2022,0.0
AMERICANO DO BRASIL,July de 2022,0.0
AMERICANO DO BRASIL,August de 2022,0.0
AMERICANO DO BRASIL,September de 2022,0.0
AMERICANO DO BRASIL,October de 2022,0.0
AMERICANO DO BRASIL,November de 2022,0.0
AMERICANO DO BRASIL,December de 2022,0.0
AMERICANO DO BRASIL,January de 2023,0.0
AMERICANO DO BRASIL,February de 2023,0.0
AMERICANO DO BRASIL,March de 2023,1.0
AMERICANO DO BRASIL,April de 2023,0.0
AMERICANO DO BRASIL,May de 2023,0.0
AMERICANO DO BRASIL,June de 2023,0.0
AMERICANO DO BRASIL,July de 2023,0.0
AMERICANO DO BRASIL,August de 2023,0.0
AMERICANO DO BRASIL,September de 2023,0.0
AMERICANO DO BRASIL,October de 2023,0.0
AMERICANO DO BRASIL,November de 2023,0.0
AMERICANO DO BRASIL,December de 2023,0.0
AMERICANO DO BRASIL,January de 2024,0.0
AMERICANO DO BRASIL,February de 2024,0.0
AMERICANO DO BRASIL,March de 2024,0.0
AMERICANO DO BRASIL,April de 2024,0.0
AMERICANO DO BRASIL,May de 2024,0.0
AMERICANO DO BRASIL,June de 2024,0.0
AMERICANO DO BRASIL,July de 2024,0.0
AMERICANO DO BRASIL,August de 2024,0.0
AMORINOPOLIS,January de 2021,0.0
AMORINOPOLIS,February de 2021,0.0
AMORINOPOLIS,March de 2021,0.0
AMORINOPOLIS,April de 2021,0.0
AMORINOPOLIS,May de 2021,0.0
AMORINOPOLIS,June de 2021,0.0
AMORINOPOLIS,July de 2021,0.0
AMORINOPOLIS,August de 2021,0.0
AMORINOPOLIS,September de 2021,0.0
AMORINOPOLIS,October de 2021,0.0
AMORINOPOLIS,November de 2021,0.0
AMORINOPOLIS,December de 2021,0.0
AMORINOPOLIS,January de 2022,0.0
AMORINOPOLIS,February de 2022,0.0
AMORINOPOLIS,March de 2022,0.0
AMORINOPOLIS,April de 2022,0.0
AMORINOPOLIS,May de 2022,0.0
AMORINOPOLIS,June de 2022,0.0
AMORINOPOLIS,July de 2022,0.0
AMORINOPOLIS,August de 2022,0.0
AMORINOPOLIS,September de 2022,0.0
AMORINOPOLIS,October de 2022,0.0
AMORINOPOLIS,November de 2022,0.0
AMORINOPOLIS,December de 2022,0.0
AMORINOPOLIS,January de 2023,0.0
AMORINOPOLIS,February de 2023,0.0
AMORINOPOLIS,March de 2023,0.0
AMORINOPOLIS,April de 2023,0.0
AMORINOPOLIS,May de 2023,0.0
AMORINOPOLIS,June de 2023,0.0
AMORINOPOLIS,July de 2023,0.0
AMORINOPOLIS,August de 2023,0.0
AMORINOPOLIS,September de 2023,0.0
AMORINOPOLIS,October de 2023,0.0
AMORINOPOLIS,November de 2023,0.0
AMORINOPOLIS,December de 2023,0.0
AMORINOPOLIS,January de 2024,0.0
